"代码","简称","时间","市盈率TTM","收盘价(元)","PE市盈率","PB市净率"
"603003.SH","龙宇燃油","2012-08-17","27.5923","10.7000","26.5097","4.5088"
"603003.SH","龙宇燃油","2012-08-24","27.4634","10.6500","26.3858","4.4877"
"603003.SH","龙宇燃油","2012-08-31","29.6811","11.5100","28.5165","4.8501"
"603003.SH","龙宇燃油","2012-09-07","33.7555","13.0900","32.4310","5.5159"
"603003.SH","龙宇燃油","2012-09-14","32.1824","12.4800","30.9197","5.2588"
"603003.SH","龙宇燃油","2012-09-21","27.4634","10.6500","26.3858","4.4877"
"603003.SH","龙宇燃油","2012-09-28","28.1081","10.9000","27.0052","4.5931"
"603003.SH","龙宇燃油","2012-10-12","26.8187","10.4000","25.7664","4.3824"
"603003.SH","龙宇燃油","2012-10-19","26.8187","10.4000","25.7664","4.3824"
"603003.SH","龙宇燃油","2012-10-26","25.0136","9.7000","24.0321","4.0874"
"603003.SH","龙宇燃油","2012-11-02","26.1460","9.6000","23.7844","4.0453"
"603003.SH","龙宇燃油","2012-11-09","25.1656","9.2400","22.8925","3.8936"
"603003.SH","龙宇燃油","2012-11-16","24.9204","9.1500","22.6695","3.8556"
"603003.SH","龙宇燃油","2012-11-23","26.6907","9.8000","24.2799","4.1295"
"603003.SH","龙宇燃油","2012-11-30","22.4692","8.2500","20.4397","3.4764"
"603003.SH","龙宇燃油","2012-12-07","23.3408","8.5700","21.2325","3.6112"
"603003.SH","龙宇燃油","2012-12-14","24.3485","8.9400","22.1492","3.7671"
"603003.SH","龙宇燃油","2012-12-21","26.2277","9.6300","23.8587","4.0579"
"603003.SH","龙宇燃油","2012-12-28","27.7529","10.1900","25.2461","4.2939"
"603003.SH","龙宇燃油","2013-01-04","28.1887","10.3500","35.8375","2.4824"
"603003.SH","龙宇燃油","2013-01-11","27.0720","9.9400","34.4178","2.3841"
"603003.SH","龙宇燃油","2013-01-18","29.6866","10.9000","37.7419","2.6143"
"603003.SH","龙宇燃油","2013-01-25","26.7452","9.8200","34.0023","2.3553"
"603003.SH","龙宇燃油","2013-02-01","28.0798","10.3100","35.6990","2.4728"
"603003.SH","龙宇燃油","2013-02-08","32.5191","11.9400","41.3429","2.8638"
"603003.SH","龙宇燃油","2013-02-22","31.4569","11.5500","39.9925","2.7702"
"603003.SH","龙宇燃油","2013-03-01","30.4765","11.1900","38.7460","2.6839"
"603003.SH","龙宇燃油","2013-03-08","30.3948","11.1600","38.6421","2.6767"
"603003.SH","龙宇燃油","2013-03-15","29.4960","10.8300","37.4995","2.5976"
"603003.SH","龙宇燃油","2013-03-22","29.5777","10.8600","37.6034","2.6048"
"603003.SH","龙宇燃油","2013-03-29","27.2627","10.0100","34.6602","2.4009"
"603003.SH","龙宇燃油","2013-04-03","26.0643","9.5700","33.1367","2.2953"
"603003.SH","龙宇燃油","2013-04-12","31.4400","9.0800","31.4400","2.1778"
"603003.SH","龙宇燃油","2013-04-19","32.3057","9.3300","32.3057","2.2378"
"603003.SH","龙宇燃油","2013-04-26","82.6701","8.1200","28.1160","1.9476"
"603003.SH","龙宇燃油","2013-05-03","82.6701","8.1200","28.1160","1.9476"
"603003.SH","龙宇燃油","2013-05-10","90.9167","8.9300","30.9206","2.1418"
"603003.SH","龙宇燃油","2013-05-17","90.3058","8.8700","30.7129","2.1275"
"603003.SH","龙宇燃油","2013-05-24","92.8511","9.1200","31.5785","2.1874"
"603003.SH","龙宇燃油","2013-05-31","92.9529","9.1300","31.6131","2.1898"
"603003.SH","龙宇燃油","2013-06-07","84.6045","8.3100","28.7738","1.9931"
"603003.SH","龙宇燃油","2013-06-14","82.9755","8.1500","28.2198","1.9548"
"603003.SH","龙宇燃油","2013-06-21","83.8918","8.2400","28.5315","1.9763"
"603003.SH","龙宇燃油","2013-06-28","71.0637","6.9800","24.1686","1.6741"
"603003.SH","龙宇燃油","2013-07-05","76.1542","7.4800","25.8999","1.7941"
"603003.SH","龙宇燃油","2013-07-12","75.5433","7.4200","25.6922","1.7797"
"603003.SH","龙宇燃油","2013-07-19","76.3578","7.5483","25.9692","1.7989"
"603003.SH","龙宇燃油","2013-07-26","78.2922","7.7395","26.6271","1.8444"
"603003.SH","龙宇燃油","2013-08-02","84.8081","8.3837","28.8431","1.9979"
"603003.SH","龙宇燃油","2013-08-09","84.4008","8.3434","28.7046","1.9883"
"603003.SH","龙宇燃油","2013-08-16","80.1248","7.9207","27.2503","1.8876"
"603003.SH","龙宇燃油","2013-08-23","80.2266","7.9308","27.2849","1.8900"
"603003.SH","龙宇燃油","2013-08-30","-184.5626","10.8394","37.2917","2.5832"
"603003.SH","龙宇燃油","2013-09-06","-173.5951","10.1953","35.0757","2.4297"
"603003.SH","龙宇燃油","2013-09-13","-193.3023","11.3527","39.0576","2.7055"
"603003.SH","龙宇燃油","2013-09-18","-182.3348","10.7086","36.8416","2.5520"
"603003.SH","龙宇燃油","2013-09-27","-167.4259","9.8330","33.8292","2.3433"
"603003.SH","龙宇燃油","2013-09-30","-173.5951","10.1953","35.0757","2.4297"
"603003.SH","龙宇燃油","2013-10-11","-207.1831","12.1679","41.8623","2.8998"
"603003.SH","龙宇燃油","2013-10-18","-200.8425","11.7955","40.5812","2.8110"
"603003.SH","龙宇燃油","2013-10-25","-198.9575","11.6848","40.2003","2.7846"
"603003.SH","龙宇燃油","2013-11-01","-47.6973","10.2657","35.3181","2.4465"
"603003.SH","龙宇燃油","2013-11-08","-48.9599","10.5375","36.2530","2.5112"
"603003.SH","龙宇燃油","2013-11-15","-46.0606","9.9135","34.1062","2.3625"
"603003.SH","龙宇燃油","2013-11-22","-50.4095","10.8495","37.3264","2.5856"
"603003.SH","龙宇燃油","2013-11-29","-49.4742","10.6482","36.6338","2.5376"
"603003.SH","龙宇燃油","2013-12-06","-51.8123","11.1514","38.3651","2.6575"
"603003.SH","龙宇燃油","2013-12-13","-50.0821","10.7790","37.0840","2.5688"
"603003.SH","龙宇燃油","2013-12-20","-47.3699","10.1953","35.0757","2.4297"
"603003.SH","龙宇燃油","2013-12-27","-46.5282","10.0141","34.4524","2.3865"
"603003.SH","龙宇燃油","2014-01-03","-46.4347","9.9940","-38.6236","2.5719"
"603003.SH","龙宇燃油","2014-01-10","-44.7513","9.6317","-37.2234","2.4786"
"603003.SH","龙宇燃油","2014-01-17","-42.9276","9.2391","-35.7064","2.3776"
"603003.SH","龙宇燃油","2014-01-24","-45.4059","9.7726","-37.7679","2.5149"
"603003.SH","龙宇燃油","2014-01-30","-43.5355","9.3700","-36.2121","2.4113"
"603003.SH","龙宇燃油","2014-02-07","-43.8160","9.4304","-36.4454","2.4268"
"603003.SH","龙宇燃油","2014-02-14","-50.3160","10.8293","-41.8520","2.7868"
"603003.SH","龙宇燃油","2014-02-21","-57.0964","12.2887","-47.4919","3.1624"
"603003.SH","龙宇燃油","2014-02-28","-56.5353","12.1679","-47.0251","3.1313"
"603003.SH","龙宇燃油","2014-03-07","-63.9237","13.7581","-53.1707","3.5405"
"603003.SH","龙宇燃油","2014-03-14","-56.3015","12.1176","-46.8306","3.1184"
"603003.SH","龙宇燃油","2014-03-21","-59.5281","12.8120","-49.5145","3.2971"
"603003.SH","龙宇燃油","2014-03-28","-53.0749","11.4231","-44.1468","2.9397"
"603003.SH","龙宇燃油","2014-04-04","-53.9166","11.6043","-44.8469","2.9863"
"603003.SH","龙宇燃油","2014-04-11","-56.3015","12.1176","-46.8306","3.1184"
"603003.SH","龙宇燃油","2014-04-18","-58.4058","12.5705","-48.5810","3.2349"
"603003.SH","龙宇燃油","2014-04-25","-45.5082","11.7754","-45.5082","3.0303"
"603003.SH","龙宇燃油","2014-04-30","-71.1741","11.6043","-44.8469","2.9863"
"603003.SH","龙宇燃油","2014-05-09","-68.3345","11.1413","-43.0577","2.8671"
"603003.SH","龙宇燃油","2014-05-16","-70.7419","11.5338","-44.5747","2.9681"
"603003.SH","龙宇燃油","2014-05-23","-74.1371","12.0874","-46.7140","3.1106"
"603003.SH","龙宇燃油","2014-05-30","-75.2482","12.2685","-47.4141","3.1572"
"603003.SH","龙宇燃油","2014-06-06","-77.5939","12.6510","-48.8921","3.2556"
"603003.SH","龙宇燃油","2014-06-13","-78.9520","12.8724","-49.7478","3.3126"
"603003.SH","龙宇燃油","2014-06-20","-72.2235","11.7754","-45.5082","3.0303"
"603003.SH","龙宇燃油","2014-06-27","-75.4951","12.3088","-47.5697","3.1676"
"603003.SH","龙宇燃油","2014-07-04","-75.6186","12.3289","-47.6475","3.1728"
"603003.SH","龙宇燃油","2014-07-11","-79.8779","13.0234","-50.3313","3.3515"
