date;  ttmpe ;  pe ; avg(pe) ;  pb 
2006/7/7; 33.98 ; 33.98 ; 33.98 ; 3.99 
2006/7/14; 33.15 ; 33.15 ; 33.56 ; 3.90 
2006/7/21; 32.41 ; 32.41 ; 33.18 ; 3.81 
2006/7/28; 31.85 ; 31.85 ; 32.85 ; 3.75 
2006/8/4; 30.38 ; 30.38 ; 32.35 ; 3.57 
2006/8/11; 30.19 ; 30.19 ; 31.99 ; 3.55 
2006/8/18; 30.19 ; 30.19 ; 31.74 ; 3.55 
2006/8/25; 30.19 ; 30.19 ; 31.54 ; 3.55 
2006/9/1; 29.92 ; 29.92 ; 31.36 ; 3.52 
2006/9/8; 30.28 ; 30.28 ; 31.25 ; 3.56 
2006/9/15; 31.95 ; 31.95 ; 31.32 ; 3.76 
2006/9/22; 21.90 ; 21.90 ; 30.53 ; 4.75 
2006/9/29; 21.43 ; 21.43 ; 29.83 ; 4.55 
2006/10/13; 21.48 ; 21.48 ; 29.24 ; 4.53 
2006/10/20; 21.48 ; 21.48 ; 28.72 ; 4.54 
2006/10/27; 21.22 ; 21.22 ; 28.25 ; 4.50 
2006/11/3; 21.59 ; 21.59 ; 27.86 ; 4.64 
2006/11/10; 21.63 ; 21.63 ; 27.51 ; 4.60 
2006/11/17; 22.94 ; 22.94 ; 27.27 ; 4.74 
2006/11/24; 19.23 ; 19.23 ; 26.87 ; 4.56 
2006/12/1; 18.93 ; 18.93 ; 26.49 ; 4.81 
2006/12/8; 19.92 ; 19.92 ; 26.19 ; 5.08 
2006/12/15; 20.78 ; 20.78 ; 25.96 ; 5.28 
2006/12/22; 21.56 ; 21.56 ; 25.77 ; 4.84 
2006/12/29; 24.54 ; 24.54 ; 25.73 ; 5.24 
2007/1/5; 24.68 ; 22.20 ; 25.59 ; 2.94 
2007/1/12; 53.89 ; 30.89 ; 25.79 ; 3.97 
2007/1/19; 59.04 ; 33.34 ; 26.06 ; 4.29 
2007/1/26; 55.81 ; 32.47 ; 26.28 ; 4.19 
2007/2/2; 50.99 ; 29.86 ; 26.40 ; 3.88 
2007/2/9; 51.57 ; 30.49 ; 26.53 ; 3.96 
2007/2/16; 54.37 ; 32.23 ; 26.71 ; 4.19 
2007/3/2; 50.34 ; 30.31 ; 26.82 ; 3.95 
2007/3/9; 50.20 ; 30.47 ; 26.92 ; 3.96 
2007/3/16; 50.80 ; 30.65 ; 27.03 ; 4.01 
2007/3/23; 49.10 ; 31.64 ; 27.16 ; 4.13 
2007/3/30; 50.77 ; 32.47 ; 27.30 ; 4.23 
2007/4/6; 53.01 ; 34.55 ; 27.49 ; 4.51 
2007/4/13; 56.46 ; 36.65 ; 27.73 ; 4.77 
2007/4/20; 57.31 ; 37.79 ; 27.98 ; 5.00 
2007/4/27; 69.17 ; 50.73 ; 28.53 ; 6.45 
2007/4/30; 67.91 ; 49.33 ; 29.03 ; 6.28 
2007/5/11; 69.87 ; 52.46 ; 29.57 ; 6.69 
2007/5/18; 68.29 ; 50.69 ; 30.05 ; 6.53 
2007/5/25; 70.30 ; 52.35 ; 30.55 ; 6.75 
2007/6/1; 67.11 ; 49.92 ; 30.97 ; 6.46 
2007/6/8; 66.36 ; 49.69 ; 31.37 ; 6.47 
2007/6/15; 71.61 ; 53.61 ; 31.83 ; 6.97 
2007/6/22; 76.82 ; 56.03 ; 32.33 ; 7.32 
2007/6/29; 80.34 ; 63.03 ; 32.94 ; 7.25 
2007/7/6; 78.20 ; 60.73 ; 33.48 ; 7.02 
2007/7/13; 80.99 ; 61.70 ; 34.03 ; 7.19 
2007/7/20; 85.64 ; 65.13 ; 34.61 ; 7.53 
2007/7/27; 92.58 ; 72.55 ; 35.32 ; 8.37 
